     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
V16   X   4   X   X  53  82   X   X   X   X   X   X  49   X   X   X   X   X   X   X   X  50   X   X  18 
V17   X   X  56  44   X  53  78   X   X   X   X  28  91   X   X  27   X   X   X  74   X   X   X   X   2 
V18   X   X   X   X   X  90  76  92   X   X  68   X  50  47   X   X   X   X   X   X  47   X   X  32   8 
V19   X  11  55   X   X   X   X  94   X   X   X   X   X 100   2   X   X  74   X   X   X   X   X   X   X 
V20   X   X   X   X  66   X   X   X   X  66  34  71  78   X   X   X   X   X  47   X   X  95   X   X   X 
V21  14   X   X  12   X   X   X  49  76   X  93   X  31   X  75  49  50   X   X   X  95   X  69   X   X 
V22   X   X   X   X   X  27   X  95   X   X   X   X   X  98  87  66   X   X   X   X   X  69   X   X   X 
V23   X   X   X  99  16   6  54   X  51   X   X  31  16   X   X   X   X   X  32   X   X   X   X   X   X 
V24  39  83   X   X   X   X   X   X   5   X   X  73   X   X   X   X  18   2   8   X   X   X   X   X   X 
(V19-V14,2)(V17-V24,2)(V16-V1,4)(V6-V15,4)(V8-V24,5)(V5-V23,6)(V11-V14,7)(V18-V24,8)(V2-V11,8)(V3-V0,9)(V19-V1,11)(V21-V3,12)(V23-V4,16)(V12-V23,16)(V24-V16,18)(V3-V4,19)(V4-V2,21)(V15-V14,24)(V11-V7,25)(V22-V5,27)(V20-V10,34)(V8-V10,38)(V9-V13,46)(V13-V18,47)最小生成树总权值为409
     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
 V0   X   X  47   X   X   1  72   X  16   X  88   X   X  43  85  12   X   X   X   X  48   X   X  30   X 
 V1   X   X   X   X   4   X   X   X   X   X   X  83   X   2  78   X   3   1  48  91   X  97   X  77   X 
 V2  47   X   X   X   X  74   X   X   X   X   X  96   X  18  78   X   9  79  78   X   X   X   X  45  81 
 V3   X   X   X   X   X   X   X   X   X   X  67   X   X   X   X   X   X   5   X   X  33   X  93  99   X 
 V4   X   4   X   X   X   X   X  60   X  28  22   X   X   X  21   X   X   X   X   X   X   X   X   X  35 
 V5   1   X  74   X   X   X  56   X   X   X   X   X   X   X   X   X   X  14   X   X   X  54   X  41  27 
 V6  72   X   X   X   X  56   X  58  41   X  52   X   X  51  99   X   X  94  58   X  88   X  84   X   X 
 V7   X   X   X   X  60   X  58   X   X   4   X   X  88   X  75   X   X   X  42   X   X   X   X   X   X 
 V8  16   X   X   X   X   X  41   X   X   X  14   X   X   X   X   X   X   X   X   X   X  59   X  23  20 
 V9   X   X   X   X  28   X   X   4   X   X   X   X  21   X   X   X   X  81  89   7  87   X  19   X  32 
V10  88   X   X  67  22   X  52   X  14   X   X   X   X   X  68   8  40   X   X   X   X   X   X   X   X 
V11   X  83  96   X   X   X   X   X   X   X   X   X   X  91   4  81  15   X   X   X   X   X   X  95   X 
V12   X   X   X   X   X   X   X  88   X  21   X   X   X   X   X   X   X  89   X   X   X   X   X  49  31 
V13  43   2  18   X   X   X  51   X   X   X   X  91   X   X   X   X  33   X   X   4  97  24   X  58   X 
V14  85  78  78   X  21   X  99  75   X   X  68   4   X   X   X   X   X  46   X   X  90   X   X   X   X 
V15  12   X   X   X   X   X   X   X   X   X   8  81   X   X   X   X  25   X  74   X   X   X  40   X   X 
V16   X   3   9   X   X   X   X   X   X   X  40  15   X  33   X  25   X   X   X   X  66   X   X   X   X 
V17   X   1  79   5   X  14  94   X   X  81   X   X  89   X  46   X   X   X  35   X   X   X  29  51   X 
V18   X  48  78   X   X   X  58  42   X  89   X   X   X   X   X  74   X  35   X   X   X   X   X   X  75 
V19   X  91   X   X   X   X   X   X   X   7   X   X   X   4   X   X   X   X   X   X   X   X   X  70   X 
V20  48   X   X  33   X   X  88   X   X  87   X   X   X  97  90   X  66   X   X   X   X   X  61  52  93 
V21   X  97   X   X   X  54   X   X  59   X   X   X   X  24   X   X   X   X   X   X   X   X   X  11   X 
V22   X   X   X  93   X   X  84   X   X  19   X   X   X   X   X  40   X  29   X   X  61   X   X  25   X 
V23  30  77  45  99   X  41   X   X  23   X   X  95  49  58   X   X   X  51   X  70  52  11  25   X   X 
V24   X   X  81   X  35  27   X   X  20  32   X   X  31   X   X   X   X   X  75   X  93   X   X   X   X 
(V17-V1,1)(V5-V0,1)(V13-V1,2)(V16-V1,3)(V13-V19,4)(V9-V7,4)(V1-V4,4)(V14-V11,4)(V3-V17,5)(V9-V19,7)(V10-V15,8)(V2-V16,9)(V23-V21,11)(V15-V0,12)(V10-V8,14)(V5-V17,14)(V16-V11,15)(V9-V22,19)(V8-V24,20)(V9-V12,21)(V23-V8,23)(V20-V3,33)(V18-V17,35)(V8-V6,41)最小生成树总权值为310
     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
 V0   X  54   X   3  94  89  48   X   X   X  30   X   X   X   X   X  79   X   X  39   X   X   X   7  61 
 V1  54   X   X  39   X  37   X   X  38  89  13   X  12   X   X   X   X   X   X   X  38   9   X   X  47 
 V2   X   X   X   X  90  70   X   X   X   X  58  74   6   X  36   X  83  98   X   X  79   X   X   2   X 
 V3   3  39   X   X   X  28  67   X  87  28   X  25   X   X   X   X   X   X  34   X   X   X  65   X   X 
 V4  94   X  90   X   X  33  60   X   X  21   X   X   X  64  92   X   X   X   X   X   X  18   2   X  84 
 V5  89  37  70  28  33   X   X  26   X   X   X   X  70   X   X   X  61   X  38   X   X   X   X   X  40 
 V6  48   X   X  67  60   X   X  80   X   X   X   X   X   X   X   X   X   X  82   X   X  46   X   X  87 
 V7   X   X   X   X   X  26  80   X  42   X  82  16   X   X  33   X   4  43  20  90   X   X  53  43  52 
 V8   X  38   X  87   X   X   X  42   X   X   X   X   X   X   X 100   X   X   X   X   X  62   X   X  12 
 V9   X  89   X  28  21   X   X   X   X   X  99   X   X  39   X   X   X   X   X   X   X   X   X   X   X 
V10  30  13  58   X   X   X   X  82   X  99   X   X   X  43   X   X   X   X   X  80   X  34  48   X  62 
V11   X   X  74  25   X   X   X  16   X   X   X   X   X   X  13  69   X   X   X   X   X   X   X   X  76 
V12   X  12   6   X   X  70   X   X   X   X   X   X   X   X   X   X   X   X  85   X  32   X   X   X   X 
V13   X   X   X   X  64   X   X   X   X  39  43   X   X   X   X   X   X  35   X   X  77  84   X   X   X 
V14   X   X  36   X  92   X   X  33   X   X   X  13   X   X   X   X   X   X  81   X   X   X   X  50   X 
V15   X   X   X   X   X   X   X   X 100   X   X  69   X   X   X   X   X   X  46   X   1   X  93   X   X 
V16  79   X  83   X   X  61   X   4   X   X   X   X   X   X   X   X   X   X  38   X   X  66  39  43   X 
V17   X   X  98   X   X   X   X  43   X   X   X   X   X  35   X   X   X   X   X   X   X   X  72   X   X 
V18   X   X   X  34   X  38  82  20   X   X   X   X  85   X  81  46  38   X   X   X  40   X  41   X   X 
V19  39   X   X   X   X   X   X  90   X   X  80   X   X   X   X   X   X   X   X   X   X   X   X  96   X 
V20   X  38  79   X   X   X   X   X   X   X   X   X  32  77   X   1   X   X  40   X   X   X   X  88  38 
V21   X   9   X   X  18   X  46   X  62   X  34   X   X  84   X   X  66   X   X   X   X   X  99  39   X 
V22   X   X   X  65   2   X   X  53   X   X  48   X   X   X   X  93  39  72  41   X   X  99   X   X  45 
V23   7   X   2   X   X   X   X  43   X   X   X   X   X   X  50   X  43   X   X  96  88  39   X   X   X 
V24  61  47   X   X  84  40  87  52  12   X  62  76   X   X   X   X   X   X   X   X  38   X  45   X   X 
(V15-V20,1)(V23-V2,2)(V22-V4,2)(V3-V0,3)(V16-V7,4)(V2-V12,6)(V23-V0,7)(V1-V21,9)(V8-V24,12)(V1-V12,12)(V14-V11,13)(V10-V1,13)(V11-V7,16)(V21-V4,18)(V18-V7,20)(V4-V9,21)(V3-V11,25)(V5-V7,26)(V12-V20,32)(V13-V17,35)(V24-V20,38)(V9-V13,39)(V0-V19,39)(V21-V6,46)最小生成树总权值为439
     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
 V0   X   X   X   X   X   X   X   X   X  86  64   X   X   X  31   X  80   X   X   X   X   X  43  37  74 
 V1   X   X  84   X  68   X  47   X   X  25   X   X   X   X  69  76  18   X   X  93  66   X  14  69   X 
 V2   X  84   X  68   X  14   X   X   X   X   X   8   X   X  54   X   X   X   X   X   X  91   X   X   X 
 V3   X   X  68   X   X   X   X   X   X  11   X   X   X   X   X   X  37   X  36  22   3   X   X  52   X 
 V4   X  68   X   X   X   X   X   X   X   X   X   X   X  44   X   X   X  65   X  59  93   X   X  86  90 
 V5   X   X  14   X   X   X   X   X  11   X  28   X   X  90  55   X   X  11   X   X  12   X   X   X   X 
 V6   X  47   X   X   X   X   X   X   X   X   X   X  41  80  67   X   X   X   X   X  11  72   X  50  64 
 V7   X   X   X   X   X   X   X   X   X  52   X   X  83   X   X   X   X   X  43   X   X   X   X  58   X 
 V8   X   X   X   X   X  11   X   X   X   X  50  24   X   X   X   X   X   X  65   X   1   X   X   1   X 
 V9  86  25   X  11   X   X   X  52   X   X   X   X   X   X  34   X   X   X   4   X  68   X  46  39   X 
V10  64   X   X   X   X  28   X   X  50   X   X  29   X  94   X   X  12  71   X   X   X   X  66   X  40 
V11   X   X   8   X   X   X   X   X  24   X  29   X  43  62  11   X  42  15   X  67   1   X   X  74  98 
V12   X   X   X   X   X   X  41  83   X   X   X  43   X   5   X   X   X   X   X   X  14  70  33   X   X 
V13   X   X   X   X  44  90  80   X   X   X  94  62   5   X   X   X   X  51   X  44   X   X  12   X  72 
V14  31  69  54   X   X  55  67   X   X  34   X  11   X   X   X   X   X  24   X  38   X   X  12   X   X 
V15   X  76   X   X   X   X   X   X   X   X   X   X   X   X   X   X   X   X   X  69   X   X   X   X   X 
V16  80  18   X  37   X   X   X   X   X   X  12  42   X   X   X   X   X   X  91  86  21  11   X   X   X 
V17   X   X   X   X  65  11   X   X   X   X  71  15   X  51  24   X   X   X   X  47   X   X   X   X   X 
V18   X   X   X  36   X   X   X  43  65   4   X   X   X   X   X   X  91   X   X   X   X   X  30  13   X 
V19   X  93   X  22  59   X   X   X   X   X   X  67   X  44  38  69  86  47   X   X   X   X   X   X   X 
V20   X  66   X   3  93  12  11   X   1  68   X   1  14   X   X   X  21   X   X   X   X   2   X   X   X 
V21   X   X  91   X   X   X  72   X   X   X   X   X  70   X   X   X  11   X   X   X   2   X  49   X  26 
V22  43  14   X   X   X   X   X   X   X  46  66   X  33  12  12   X   X   X  30   X   X  49   X   X   X 
V23  37  69   X  52  86   X  50  58   1  39   X  74   X   X   X   X   X   X  13   X   X   X   X   X  91 
V24  74   X   X   X  90   X  64   X   X   X  40  98   X  72   X   X   X   X   X   X   X  26   X  91   X 
(V8-V20,1)(V20-V11,1)(V8-V23,1)(V20-V21,2)(V3-V20,3)(V18-V9,4)(V13-V12,5)(V11-V2,8)(V14-V11,11)(V16-V21,11)(V5-V17,11)(V6-V20,11)(V3-V9,11)(V5-V8,11)(V16-V10,12)(V13-V22,12)(V22-V14,12)(V22-V1,14)(V19-V3,22)(V21-V24,26)(V14-V0,31)(V18-V7,43)(V4-V13,44)(V15-V19,69)最小生成树总权值为376
     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
 V0   X   X   3   X   X  68   X  34   X   X   4   X   X   X   X   X   X   X   X   X   X  70   X   X   X 
 V1   X   X   X   X   X   7  27  41   X  21  38   X  78  26   X   X   X   X  22  31  13   X   X   X   6 
 V2   3   X   X   X   X  41   X   X  97   X  34   X   X   X   X  63  88   X   X  88  32   X  89   X  56 
 V3   X   X   X   X   X   X   X  99  18  67   X   X   X   X   X   X   X   X   X   X   X   X  74  41  47 
 V4   X   X   X   X   X   X   X   X   X   X  33   X   X   X   X   X  38   X   X   X   X   X   X   X   X 
 V5  68   7  41   X   X   X   X   X   X  56   X  65   X  30   X  79   X  16   X   X  73  84  68   X  53 
 V6   X  27   X   X   X   X   X  93  42   X  99   X   X  84   X   X   X   X  44   X   X  85   X   X   X 
 V7  34  41   X  99   X   X  93   X   X   X   X   X   X   X   X   X  32  57  85   X  26  99  66   X   X 
 V8   X   X  97  18   X   X  42   X   X  55  21   X  71   X  25  51  73   X   X   X   X   X   X  66   X 
 V9   X  21   X  67   X  56   X   X  55   X   X   6  67   X   X   X   X   8  59  40   X  26   X   X   X 
V10   4  38  34   X  33   X  99   X  21   X   X  68  90   X  94   7   X   X   X 100   X   3   9   X   X 
V11   X   X   X   X   X  65   X   X   X   6  68   X  61   X  47  48  70   X   X   X  31  55  20  60   X 
V12   X  78   X   X   X   X   X   X  71  67  90  61   X  89   X  83   X   X   6   X   X   X  88   X   X 
V13   X  26   X   X   X  30  84   X   X   X   X   X  89   X   X   X   X   X   X   X 100   X   X 100   X 
V14   X   X   X   X   X   X   X   X  25   X  94  47   X   X   X  25   X   X   X   X   X   X   X   X   X 
V15   X   X  63   X   X  79   X   X  51   X   7  48  83   X  25   X   X   X  35   X   X   X   X   X   X 
V16   X   X  88   X  38   X   X  32  73   X   X  70   X   X   X   X   X   7   X  85   X   X   X   X   X 
V17   X   X   X   X   X  16   X  57   X   8   X   X   X   X   X   X   7   X   X  51   X   X   X   X   X 
V18   X  22   X   X   X   X  44  85   X  59   X   X   6   X   X  35   X   X   X   X  15   X   X  26   X 
V19   X  31  88   X   X   X   X   X   X  40 100   X   X   X   X   X  85  51   X   X   X  36   X  95   X 
V20   X  13  32   X   X  73   X  26   X   X   X  31   X 100   X   X   X   X  15   X   X  34   X   X  77 
V21  70   X   X   X   X  84  85  99   X  26   3  55   X   X   X   X   X   X   X  36  34   X   X   X  71 
V22   X   X  89  74   X  68   X  66   X   X   9  20  88   X   X   X   X   X   X   X   X   X   X   X   X 
V23   X   X   X  41   X   X   X   X  66   X   X  60   X 100   X   X   X   X  26  95   X   X   X   X   X 
V24   X   6  56  47   X  53   X   X   X   X   X   X   X   X   X   X   X   X   X   X  77  71   X   X   X 
(V2-V0,3)(V21-V10,3)(V0-V10,4)(V24-V1,6)(V9-V11,6)(V12-V18,6)(V5-V1,7)(V17-V16,7)(V15-V10,7)(V9-V17,8)(V22-V10,9)(V1-V20,13)(V18-V20,15)(V17-V5,16)(V8-V3,18)(V11-V22,20)(V10-V8,21)(V8-V14,25)(V23-V18,26)(V1-V13,26)(V7-V20,26)(V1-V6,27)(V19-V1,31)(V10-V4,33)最小生成树总权值为363
     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
 V0   X   X   X   X   X  64   X   X   X  98   X   X   X   X  19   X  57   X   X   X   X  73   X   X   X 
 V1   X   X   X   X   X   X   X   X   X  71   X   X  74   X   X  57   X  44   X   X  17   X   X  31   X 
 V2   X   X   X  43   X   X   X   X   7  71  56   X   X   X   X   8   X   X  76   X  72   X  37   6   2 
 V3   X   X  43   X   X  85  34   X   2   X   X   X   X   X  80  33  80  24   X   X  67   X   X  33   X 
 V4   X   X   X   X   X   X   X  72  89   X  35  82   X   X  99   X  58   X   X   X   X   X   X   X   X 
 V5  64   X   X  85   X   X   X  93  57   X   X   X   X   X   X  35   X   X  79  73   X   X  11   X  56 
 V6   X   X   X  34   X   X   X   X   X  28  32   X   X   X   X  81   X   X  95   X   X  79   X  97   X 
 V7   X   X   X   X  72  93   X   X   X   6   X   X   X  62  90   X   X   X  40   X   X  15   X   X   X 
 V8   X   X   7   2  89  57   X   X   X   X  97  87   X   X   X   X  21   X  74  85  45 100   X   X  25 
 V9  98  71  71   X   X   X  28   6   X   X   X   X   X   X   X   X  14   X   X   X   8  10   X   X   X 
V10   X   X  56   X  35   X  32   X  97   X   X  48   X   X   X   X  11   X   X   X   X   X   X   X   X 
V11   X   X   X   X  82   X   X   X  87   X  48   X  90   X   X   X   X  46   X   X   X  63  52   X   X 
V12   X  74   X   X   X   X   X   X   X   X   X  90   X  87   X  62   X  59  21   X  69  35   X   X   X 
V13   X   X   X   X   X   X   X  62   X   X   X   X  87   X   X   X   X   X   X   1   X   X   X   X   X 
V14  19   X   X  80  99   X   X  90   X   X   X   X   X   X   X  37   X   X  30   X   X  36  10  43  74 
V15   X  57   8  33   X  35  81   X   X   X   X   X  62   X  37   X  41   X  12  16   7  99  42   X  48 
V16  57   X   X  80  58   X   X   X  21  14  11   X   X   X   X  41   X   X   X  27  58  88   X   X   X 
V17   X  44   X  24   X   X   X   X   X   X   X  46  59   X   X   X   X   X  72   X   X   X  65  25   X 
V18   X   X  76   X   X  79  95  40  74   X   X   X  21   X  30  12   X  72   X   X   X   X   X   X   X 
V19   X   X   X   X   X  73   X   X  85   X   X   X   X   1   X  16  27   X   X   X  98   X   X   X   X 
V20   X  17  72  67   X   X   X   X  45   8   X   X  69   X   X   7  58   X   X  98   X   X  45   X   X 
V21  73   X   X   X   X   X  79  15 100  10   X  63  35   X  36  99  88   X   X   X   X   X   X   X   X 
V22   X   X  37   X   X  11   X   X   X   X   X  52   X   X  10  42   X  65   X   X  45   X   X   X   X 
V23   X  31   6  33   X   X  97   X   X   X   X   X   X   X  43   X   X  25   X   X   X   X   X   X  60 
V24   X   X   2   X   X  56   X   X  25   X   X   X   X   X  74  48   X   X   X   X   X   X   X  60   X 
(V19-V13,1)(V8-V3,2)(V24-V2,2)(V7-V9,6)(V2-V23,6)(V20-V15,7)(V2-V8,7)(V15-V2,8)(V20-V9,8)(V21-V9,10)(V14-V22,10)(V22-V5,11)(V10-V16,11)(V18-V15,12)(V9-V16,14)(V19-V15,16)(V20-V1,17)(V14-V0,19)(V12-V18,21)(V17-V3,24)(V9-V6,28)(V18-V14,30)(V4-V10,35)(V11-V17,46)最小生成树总权值为351
     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
 V0   X  39   X   X  49   X   X   X  70  31   7   X   X  19   X   X  30   X   X  64   X  56   X   X   X 
 V1  39   X   X   X   X   X   X   X   X   X  79   X   X   X  62   X   X   X   X   X   X   X   X   X  82 
 V2   X   X   X   X   X   X   X   X   X  48   X   X   3   X   X   X   X   X   X  53   X   X   X  45   X 
 V3   X   X   X   X   X   X   X  94   X   X   X   X   X   X   X  50  43   X   X   X  71   2   X   X   X 
 V4  49   X   X   X   X  74   X  43   X   X   X   X  81   X   X  58  23   X   2   X   X   X   X   X   X 
 V5   X   X   X   X  74   X   X   X   6   X   X  98   X   X   X   X   X   X   X   X  87   X  20   1   X 
 V6   X   X   X   X   X   X   X  94  11  59   X   X  73   X   X   X  34   X   X  67  25   X   X   X   X 
 V7   X   X   X  94  43   X  94   X   X   X  60   X   X   X  62  27  71   X  65  91   X  71   X  93   X 
 V8  70   X   X   X   X   6  11   X   X  85  82   X   X  46  75   X  35   X   X   X  29  87  62   X   X 
 V9  31   X  48   X   X   X  59   X  85   X   X   X  36   X   X  18  59  24   X   X  63   X   X  20   X 
V10   7  79   X   X   X   X   X  60  82   X   X   4   3   X  24   X   X   X   5   X  29  43   X  40   X 
V11   X   X   X   X   X  98   X   X   X   X   4   X   1   X   X   X   X   X   2   X  55   X  19   X   X 
V12   X   X   3   X  81   X  73   X   X  36   3   1   X   X  30   X  25   X   X   X   X   X   1   X   X 
V13  19   X   X   X   X   X   X   X  46   X   X   X   X   X  51   X   X  20   X   X   X   5  49   X   X 
V14   X  62   X   X   X   X   X  62  75   X  24   X  30  51   X  79   X   X   3   X   X   X   X   X  72 
V15   X   X   X  50  58   X   X  27   X  18   X   X   X   X  79   X  84  49   X   X  42   X  82  95   4 
V16  30   X   X  43  23   X  34  71  35  59   X   X  25   X   X  84   X   X   X   X  88  64   X   X  74 
V17   X   X   X   X   X   X   X   X   X  24   X   X   X  20   X  49   X   X   6  61   X   X  98   X   X 
V18   X   X   X   X   2   X   X  65   X   X   5   2   X   X   3   X   X   6   X   X  55   X  80   X  27 
V19  64   X  53   X   X   X  67  91   X   X   X   X   X   X   X   X   X  61   X   X   X   X  74   X   X 
V20   X   X   X  71   X  87  25   X  29  63  29  55   X   X   X  42  88   X  55   X   X   X   X   X  78 
V21  56   X   X   2   X   X   X  71  87   X  43   X   X   5   X   X  64   X   X   X   X   X   X   X   X 
V22   X   X   X   X   X  20   X   X  62   X   X  19   1  49   X  82   X  98  80  74   X   X   X  30   X 
V23   X   X  45   X   X   1   X  93   X  20  40   X   X   X   X  95   X   X   X   X   X   X  30   X   X 
V24   X  82   X   X   X   X   X   X   X   X   X   X   X   X  72   4  74   X  27   X  78   X   X   X   X 
(V12-V22,1)(V12-V11,1)(V23-V5,1)(V11-V18,2)(V4-V18,2)(V21-V3,2)(V10-V12,3)(V14-V18,3)(V12-V2,3)(V24-V15,4)(V13-V21,5)(V5-V8,6)(V18-V17,6)(V0-V10,7)(V8-V6,11)(V9-V15,18)(V13-V0,19)(V22-V5,20)(V9-V23,20)(V16-V4,23)(V6-V20,25)(V15-V7,27)(V0-V1,39)(V19-V2,53)最小生成树总权值为301
     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
 V0   X   X   X   X   X  12   X   X  96   X  35   X  64   X   X  16   X   X   X   X   X   X   X  88  42 
 V1   X   X  98   X   X   X  14   X  51  29  96  16  25  18   X  71  84   X  69  82   X  94   X  29   X 
 V2   X  98   X   X  77  54   X   X   X  60   X  35   X  76  29   X  50   3  82   X   X   X   X   8  99 
